year,number_trucks,hours,cost,description,animal_group,property_category,special_service_type_category,borough
2017,1,1,326,CAT TRAPPED IN CEILING AREA OF LOBBY,Cat,Dwelling,Other animal assistance,HAVERING
2017,1,1,326,DOG WITH HEAD TRAPPED IN A METAL GATE,Dog,Outdoor,Other animal assistance,HAMMERSMITH AND FULHAM
2017,1,1,326,DOG STUCK IN RAILINGS,Dog,Outdoor,Other animal assistance,SOUTHWARK
2017,1,1,326,ASSIST RSPCA WITH CAT ON A ROOF,Cat,Dwelling,Animal rescue from height,NEWHAM
2017,1,1,326,CAT UP TREE     RSPCA IN ATTENDANCE,Cat,Outdoor,Animal rescue from height,REDBRIDGE
2017,1,1,326,TO ASSIST RSPCA WITH A CAT TRAPPED IN THE ROOFSPACE OF COMMUNITY CENTRE,Cat,Non Residential,Animal rescue from height,SOUTHWARK
2017,1,2,652,ASSIST RSPCA WITH KITTEN STUCK UP TREE,Cat,Dwelling,Animal rescue from height,HARINGEY
2017,1,1,326,PIGEON TRAPPED IN CHIMNEY,Bird,Dwelling,Other animal assistance,HACKNEY
2017,1,1,326,CAT TRAPPED IN MUD   AT TIDEWAY VILLAGE GANG PLANK,Cat,Outdoor,Animal rescue from water,WANDSWORTH
2017,1,1,326,ASSIST RSPCA (ON SCENE) WITH CAT ON ROOF   .,Cat,Dwelling,Animal rescue from height,KINGSTON UPON THAMES
2017,1,1,326,CAT STUCK ON CHIMNEY BREAST RSPCA ON SCENE   .,Cat,Dwelling,Animal rescue from height,RICHMOND UPON THAMES
2017,1,1,326,ASSIST RSPCA WITH CAT TRAPPED DOWN HOLE  RSPCA UNABLE TO ATTEND AT THIS TIME,Cat,Dwelling,Animal rescue from height,HACKNEY
2017,1,3,978,CAT STUCK IN ROOF SPACE,Cat,Dwelling,Animal rescue from height,KINGSTON UPON THAMES
2017,1,1,326,CAT FALLEN FROM WINDOW - TRAPPED ON LEDGE,Cat,Dwelling,Other animal assistance,CROYDON
2017,1,1,326,CAT STUCK IN CHIMNEY,Cat,Dwelling,Other animal assistance,HARINGEY
2017,1,2,652,ASSIST RSPCA WITH CAT STUCK UP CHIMNEY    CALLED BY RSPCA INSPECTOR IN ATTENDANCE,Cat,Dwelling,Other animal assistance,HAMMERSMITH AND FULHAM
2017,2,3,978,POSSIBLY INJURED DOG TRAPPED BEHIND FENCING - CALLER WILL ADVISE ON YOUR ARRIVAL,Dog,Dwelling,Animal rescue from below ground,GREENWICH
2017,1,1,326,SMALL ANIMAL RESCUE,Dog,Outdoor,Other animal assistance,NEWHAM
2017,1,2,652,CAT TRAPPED IN ROOF VOID,Cat,Other Residential,Animal rescue from height,ENFIELD
2017,1,1,326,CAT TRAPPED UP CHIMNEY,Cat,Dwelling,Other animal assistance,ISLINGTON
2017,1,1,326,CAT TRAPPED BEHIND DOOR,Cat,Dwelling,Other animal assistance,EALING
2017,1,1,326,BIRD TRAPPED IN CHIMNEY,Bird,Dwelling,Other animal assistance,GREENWICH
2017,1,1,326,DOG WITH HEAD STUCK IN RAILINGS  IN PARK  CALLER WILL MEET YOU AND DIRECT,Dog,Outdoor,Other animal assistance,BARKING AND DAGENHAM
2017,1,1,326,CAT TRAPPED IN ROOF EXTENSION   NEXT TO,Cat,Dwelling,Animal rescue from height,LEWISHAM
2017,1,1,326,SMALL ANIMAL RESCUE OPPOSIT THE FUR WREN RSPCA IN ATTENDANCE,Bird,Non Residential,Animal rescue from height,BEXLEY
2017,1,1,326,PUPPY WITH HEAD TRAPPED IN RACK,Dog,Dwelling,Other animal assistance,LEWISHAM
2017,2,7,2282,ASSIST RSPCA WITH CAT IN CHIMNEY,Cat,Dwelling,Animal rescue from height,ISLINGTON
2017,1,1,326,SQUIRREL TRAPPED UNDER STAIRS,Squirrel,Dwelling,Other animal assistance,BROMLEY
2017,1,1,326,ASSIST RSPCA WITH KITTEN TRAPPED INSIDE ABANDONED BUILDING,Cat,Outdoor,Other animal assistance,HAVERING
2017,1,1,326,KITTEN ON ROOF OF HOUSE,Cat,Dwelling,Animal rescue from height,CROYDON
2017,1,1,326,DOG STUCK DOWN HOLE CALLER SAYS TO ENTER VIA THE CAMELOT,Dog,Outdoor,Animal rescue from below ground,REDBRIDGE
2017,1,1,326,CAT STUCK ON WALL TIE  THROUGH THE CATS LEG,Cat,Dwelling,Animal rescue from height,BEXLEY
2017,1,1,326,DOG STUCK ON MARSH LAND  NEAR TO THE YAUGHT CLUB    CALL FROM RSPCA,Dog,Outdoor,Other animal assistance,BEXLEY
2017,1,2,652,DOG TRAPPED IN FOX HOLE - MEET THE OWNER AT ROBIN HOOD GATE CAR PARK ACCESS OFF OF ROEHAMPTON VALE O,Dog,Outdoor,Animal rescue from below ground,KINGSTON UPON THAMES
2017,1,2,652,CAT TRAPPED IN ROOF AREA,Cat,Non Residential,Animal rescue from height,ISLINGTON
2017,1,1,326,BIRD TRAPPED IN NETTING  TALLY HO PUB  -    RSPCA INSPECTOR IN ATTENDANCE  -    VAN PARKED AT SIDE O,Bird,Non Residential,Animal rescue from height,BARNET
2017,1,1,326,CAT TRAPPED IN CAR ENGINE,Cat,Road Vehicle,Other animal assistance,HOUNSLOW
2017,1,1,326,SMALL ANIMAL RESCUE   PARROTT ON ROOF BELIEVED INJURED,Bird,Dwelling,Animal rescue from height,MERTON
2017,1,1,326,ASSIST RSPCA WITH TRAPPED SEAGULL ON BUILDING SITE  NEAR PIRATE CASTLE,Bird,Outdoor,Other animal assistance,CAMDEN
2017,1,1,326,FOX TRAPPED UNDER BUILDING,Fox,Dwelling,Animal rescue from below ground,REDBRIDGE
2017,1,1,326,JACK RUSSELL DOG  STUCK IN FOX HOLE        BONNER GATE     BY THE LAKE   OPPOSITE THE PAGODA,Dog,Outdoor,Animal rescue from below ground,TOWER HAMLETS
2017,1,3,978,LARGE ANIMAL RESCUE     HORSE TRAPPED BETWEEN TREES       ADDITIONAL FRU WITH LARGE ANIMAL RESCUE CA,Horse,Outdoor,Other animal assistance,BEXLEY
2017,1,1,326,"DOG STUCK UNDER FENCE NEAR RAILWAY LINE CALLER IN FIELD NEAR SCHOOL, HE SAYS ACCESS VIA PERRYMANS FA",Dog,Outdoor Structure,Other animal assistance,REDBRIDGE
2017,1,1,326,ASSIST RSPCA WITH FOX TRAPPED IN WIRE,Fox,Outdoor,Other animal assistance,BEXLEY
2017,1,1,326,ASSIST RSPCA WITH CAT STUCK UP TREE,Cat,Outdoor,Animal rescue from height,HARINGEY
2017,1,1,326,DISTRESSED DOG IN PRECARIOUS POSITION,Dog,Dwelling,Animal rescue from height,BRENT
2017,1,1,326,CAT TRAPPED INSIDE CAR ENGINE,Cat,Road Vehicle,Other animal assistance,WESTMINSTER
2017,1,1,326,KITTEN TRAPPED BETWEEN FLATS AND GARAGE,Cat,Outdoor,Other animal assistance,BRENT
2017,2,3,978,CAT TRAPPED IN CAR ENGINE,Cat,Road Vehicle,Other animal assistance,REDBRIDGE
2017,1,1,328,BIRD TRAPPED BEHIND RADIATOR,Bird,Dwelling,Other animal assistance,HILLINGDON
2017,1,1,328,CAT TRAPPED ON BALCONY    FALLEN TWO FLOORS,Cat,Dwelling,Animal rescue from height,ENFIELD
2017,1,1,328,ASSIST RSPCA WITH FOX STUCK ON LEDGE    AT SIDE OF STREAM,Fox,Outdoor,Other animal assistance,WANDSWORTH
2017,1,1,328,"ASSIST RSPCA WITH SMALL ANIMAL RESCUE      RSPCA INSPECTOR ON SCENE, ASSIST WITH A DUCK TANGLED IN A",Bird,Outdoor,Other animal assistance,BROMLEY
2017,1,1,328,KITTEN STUCK IN CAGE,Cat,Dwelling,Other animal assistance,NEWHAM
2017,1,1,328,ASSIST RSPCA OFFICER IN EXTRACTING CAT FROM CAR ENGINE,Cat,Road Vehicle,Other animal assistance,HAVERING
2017,1,1,328,RUNNING CALL CAT UP TREE,Cat,Outdoor,Animal rescue from height,WALTHAM FOREST
2017,1,1,328,CAT STUCK UP A TREE     CALLED FROM RSPCA,Cat,Outdoor,Animal rescue from height,HARINGEY
2017,1,1,328,RUNNING CALL TO CAT STUCK UP TREE,Cat,Outdoor,Animal rescue from height,GREENWICH
2017,1,1,328,CAT STUCK IN TREE     RSPCA INSPECTOR ON SCENE,Cat,Outdoor,Animal rescue from height,EALING
2017,1,1,328,DOG IN RIVER THAMES     JO  UPPER MALL,Dog,Outdoor Structure,Animal rescue from water,RICHMOND UPON THAMES
2017,1,1,328,CAT TRAPPED UNDER SINK AND BEHIND WALL,Cat,Dwelling,Other animal assistance,KENSINGTON AND CHELSEA
2017,1,1,328,DOG WITH HEAD STUCK IN RAILINGS   BY ISLAND GARDENS STATION   OWNER IS ON SCENE,Dog,Outdoor,Other animal assistance,TOWER HAMLETS
2017,1,1,328,PIGEON CAUGHT ON WIRE       FOUTH FLOOR LEVEL     CHILD CALLER WILL REMAIN ON SCENE TO DIERECT BRIGA,Bird,Dwelling,Other animal assistance,WESTMINSTER
2017,1,1,328,DOG WITH HEAD STUCK IN GATE,Dog,Dwelling,Other animal assistance,CROYDON
2017,1,1,328,RCA TO PARROT IN PRECARIOUS POSITION  BELIEVED TO BE INJURED    NO FURTHER BRIGADE ASSISTANCE REQUIR,Bird,Outdoor,Other animal assistance,KINGSTON UPON THAMES
2017,1,1,328,ASSIST RSPCA WITH CAT STUCK ON BALCONY,Cat,Dwelling,Animal rescue from height,CAMDEN
2017,1,1,328,HORSE TRAPPED ON STABLE DOOR PASSED CALL X KENT FRS,Horse,Non Residential,Animal rescue from height,BROMLEY
2017,1,1,328,CAT TRAPPED BETWEEN GUTTERING ON WALL AND ROOF,Cat,Dwelling,Animal rescue from height,BARNET
2017,2,5,1640,CAT CAUGHT IN AXLE OF CAR FRU REQUESTED FROM SCENE,Cat,Road Vehicle,Other animal assistance,WANDSWORTH
